DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2002,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2003,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2004,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2005,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2006,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2007,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2008,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2009,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2010,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2011,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2012,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2013,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2014,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2015,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2016,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2017,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2018,43.5,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2019,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2020,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2021,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2022,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Andorra,2023,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2002,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2003,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2004,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2005,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2006,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2007,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2008,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2009,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2010,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2011,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2012,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2013,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2014,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2015,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2016,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2017,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2018,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2019,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2020,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2021,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2022,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Albania,2023,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2002,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2003,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2004,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2005,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2006,35.9,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2007,35.5,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2008,35.8,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2009,35.3,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2010,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2011,8.6,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2012,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2013,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2014,25.4,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2015,25.9,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2016,33.6,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2017,33.0,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2018,32.5,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2019,31.8,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2020,5.6,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2021,,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2022,29.5,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Armenia,2023,28.8,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Austria,2002,33.8,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Austria,2003,35.3,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Austria,2004,35.9,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Austria,2005,36.5,,
ESTAT:DEMO_FIND(1.0),01/10/25 23:00:00,Annual,Proportion of live births outside marriage,Austria,2006,37.2,,
