STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AM,Armenia,2006,,25.4,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AM,Armenia,2007,,25.8,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AM,Armenia,2008,,25.7,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AM,Armenia,2009,,25.5,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AM,Armenia,2015,,26.8,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AM,Armenia,2017,,26.7,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AM,Armenia,2018,,26.7,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2002,,27.7,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2003,,27.9,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2004,,28.2,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2005,,28.6,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2006,,29.1,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2007,,29.3,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2008,,29.5,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2009,,29.9,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2011,,30.3,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2012,,30.6,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2013,,30.7,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2014,,30.9,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2015,,31.2,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2016,,31.3,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2017,,31.5,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2018,,31.7,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2019,,32.0,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AT,Austria,2023,,32.7,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AZ,Azerbaijan,2006,,24.5,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AZ,Azerbaijan,2007,,24.5,,,,,
dataflow,ESTAT:DEMO_NIND(1.0),Marriage indicators,A,Annual,FAGEMAR1,Mean age at first marriage - females,AZ,Azerbaijan,2008,,24.3,,,,,
