DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Armenia,2006,25.4,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Armenia,2007,25.8,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Armenia,2008,25.7,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Armenia,2009,25.5,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Armenia,2015,26.8,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Armenia,2017,26.7,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Armenia,2018,26.7,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,1990,25.2,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,1991,25.4,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,1992,25.6,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,1993,25.8,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,1994,26.1,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,1995,26.3,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,1996,26.5,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,1997,26.8,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,1998,26.9,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,1999,27.3,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2000,27.4,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2001,27.5,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2002,27.7,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2003,27.9,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2004,28.2,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2005,28.6,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2006,29.1,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2007,29.3,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2008,29.5,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2009,29.9,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2011,30.3,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2012,30.6,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2013,30.7,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2014,30.9,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2015,31.2,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2016,31.3,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2017,31.5,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2018,31.7,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2019,32.0,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Austria,2023,32.7,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Azerbaijan,2006,24.5,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Azerbaijan,2007,24.5,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Azerbaijan,2008,24.3,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Azerbaijan,2009,24.3,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Azerbaijan,2014,24.4,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Azerbaijan,2017,23.9,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Azerbaijan,2018,23.8,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Azerbaijan,2019,24.0,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Belgium,1990,24.4,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Belgium,1991,24.0,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Belgium,1992,24.8,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Belgium,1993,25.1,,
ESTAT:DEMO_NIND(1.0),09/07/25 11:00:00,Annual,Mean age at first marriage - females,Belgium,1994,25.4,,
